date,price,mean,std
01-02-2010,189.05,186.5838095,210.4907956
01-03-2010,188.85,186.5838095,210.4907956
01-04-2010,189.05,186.5838095,210.4907956
01-05-2010,189.06,186.5838095,210.4907956
01-06-2010,187.16,186.5838095,210.4907956
01-07-2010,186.03,186.5838095,210.4907956
01-08-2010,185.80,186.5838095,210.4907956
01-09-2010,183.96,186.5838095,210.4907956
01-10-2010,184.31,186.5838095,210.4907956
01-11-2010,183.65,186.5838095,210.4907956
01-12-2010,182.38,186.5838095,210.4907956
01-01-2011,181.37,186.5838095,210.4907956
01-02-2011,179.64,186.5838095,210.4907956
01-03-2011,177.79,186.5838095,210.4907956
01-04-2011,178.16,186.5838095,210.4907956
01-05-2011,177.72,186.5838095,210.4907956
01-06-2011,178.31,186.5838095,210.4907956
01-07-2011,178.73,186.5838095,210.4907956
01-08-2011,178.16,186.5838095,210.4907956
01-09-2011,179.24,186.5838095,210.4907956
01-10-2011,178.28,186.5838095,210.4907956
01-11-2011,179.04,186.5838095,210.4907956
01-12-2011,179.66,186.5838095,210.4907956
01-01-2012,179.00,186.5838095,210.4907956
01-02-2012,179.27,186.5838095,210.4907956
01-03-2012,180.86,186.5838095,210.4907956
01-04-2012,181.85,186.5838095,210.4907956
01-05-2012,182.94,186.5838095,210.4907956
01-06-2012,183.70,186.5838095,210.4907956
01-07-2012,184.13,186.5838095,210.4907956
01-08-2012,185.29,186.5838095,210.4907956
01-09-2012,186.00,186.5838095,210.4907956
01-10-2012,186.94,186.5838095,210.4907956
01-11-2012,187.75,186.5838095,210.4907956
01-12-2012,188.73,186.5838095,210.4907956
01-01-2013,190.19,186.5838095,210.4907956
01-02-2013,191.34,186.5838095,210.4907956
01-03-2013,193.20,186.5838095,210.4907956
01-04-2013,194.30,186.5838095,210.4907956
01-05-2013,195.92,186.5838095,210.4907956
01-06-2013,197.02,186.5838095,210.4907956
01-07-2013,198.21,186.5838095,210.4907956
01-08-2013,198.80,186.5838095,210.4907956
01-09-2013,199.79,186.5838095,210.4907956
01-10-2013,200.42,186.5838095,210.4907956
01-11-2013,200.49,186.5838095,210.4907956
01-12-2013,201.64,186.5838095,210.4907956
